edge_count,control
9,False
9,False
9,False
6,False
8,False
9,False
9,False
9,False
8,False
6,False
6,False
8,False
6,False
9,False
6,False
7,False
8,False
4,False
7,False
7,False
7,False
6,False
6,False
9,False
7,False
9,False
7,False
7,False
9,False
8,False
6,False
7,False
9,False
8,False
7,False
8,False
4,False
7,False
9,False
6,False
7,False
8,False
8,False
7,False
8,False
9,False
9,False
6,False
8,False
9,False
6,False
6,False
9,False
6,False
6,False
9,False
7,False
6,False
6,False
7,False
7,False
6,False
7,False
6,False
8,False
9,False
7,False
9,False
7,False
8,False
7,False
7,False
7,False
6,False
9,False
5,False
7,False
9,False
5,False
9,False
6,False
9,False
7,False
8,False
9,False
9,False
7,False
9,False
5,False
9,False
8,False
6,False
9,False
8,False
8,False
8,False
8,False
9,False
9,False
9,False
9,False
8,False
7,False
8,False
7,False
9,False
9,False
7,False
8,False
8,False
8,False
8,False
7,False
8,False
8,False
8,False
7,False
6,False
8,False
6,False
5,False
8,False
9,False
6,False
9,False
4,False
6,False
5,False
8,False
9,False
7,False
6,False
6,False
9,False
9,False
6,False
7,False
6,False
7,False
9,False
9,False
9,False
9,False
7,False
8,False
8,False
8,False
4,False
6,False
2,False
6,False
8,False
9,False
8,False
8,False
6,False
5,False
4,False
9,False
8,False
4,False
8,False
8,False
7,False
8,False
9,False
8,False
7,False
8,False
9,False
6,False
7,False
7,False
6,False
8,False
9,False
8,False
7,False
8,False
9,False
8,False
8,False
8,False
7,False
0,False
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
0,True
