size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
5,0,12.4,13,4,0.8181818181818182,False
5,0,12.4,13,4,0.8181818181818182,False
2,1,12.0,0,2,0.875,False
2,1,12.0,0,2,0.875,False
3,0,2.6666666666666665,0,2,0.875,False
3,0,2.6666666666666665,0,2,0.875,False
2,0,14.0,0,3,1.0,False
2,0,14.0,0,3,1.0,False
3,0,20.0,13,3,0.7272727272727273,False
3,0,20.0,13,3,0.7272727272727273,False
3,0,14.0,13,2,0.6666666666666666,False
3,0,14.0,13,3,0.8888888888888888,False
3,0,14.0,13,2,0.6666666666666666,False
3,0,14.0,13,3,0.8888888888888888,False
4,0,12.0,13,3,0.8461538461538461,False
4,0,13.166666666666666,13,4,0.8,False
4,0,8.5,13,3,0.7777777777777778,False
4,0,12.0,13,3,0.8461538461538461,False
4,0,13.166666666666666,13,4,0.8,False
4,0,11.5,13,2,0.7142857142857143,False
4,0,11.5,13,2,0.7142857142857143,False
3,0,17.333333333333332,13,2,0.75,False
3,0,17.333333333333332,13,2,0.75,False
4,0,2.6666666666666665,0,2,0.6923076923076923,False
4,0,2.6666666666666665,0,2,0.6923076923076923,False
2,2,11.0,7,3,0.7142857142857143,False
2,2,11.0,7,3,0.7142857142857143,False
3,0,8.666666666666666,7,3,0.75,False
3,0,8.666666666666666,7,3,0.75,False
5,0,6.4,7,4,0.9230769230769231,False
5,0,11.2,13,3,0.8461538461538461,False
5,0,11.6,13,3,0.6,False
5,0,11.2,13,4,0.75,False
5,0,18.0,13,3,0.8125,False
5,0,6.4,7,4,0.9230769230769231,False
5,0,11.2,13,3,0.8461538461538461,False
5,0,11.6,13,3,0.6,False
5,0,11.2,13,4,0.75,False
5,0,18.0,13,3,0.8125,False
3,0,1.3333333333333333,0,4,0.8,False
3,0,1.3333333333333333,0,4,0.8,False
4,1,7.5,7,3,0.6923076923076923,False
4,1,7.5,7,3,0.6923076923076923,False
3,0,20.666666666666668,6,3,0.8571428571428571,False
2,0,4.0,0,1,1.0,False
2,0,4.0,0,1,1.0,False
3,0,17.333333333333332,13,1,0.8571428571428571,False
3,0,17.333333333333332,13,1,0.8571428571428571,False
2,0,2.0,0,3,1.0,False
2,0,2.0,0,3,1.0,False
6,0,12.666666666666666,13,2,0.7272727272727273,False
6,0,13.133333333333333,13,4,0.7692307692307693,False
6,0,12.666666666666666,13,2,0.7272727272727273,False
6,0,13.133333333333333,13,4,0.7692307692307693,False
5,0,2.0,0,4,0.8333333333333334,False
5,0,2.0,0,4,0.8333333333333334,False
4,0,13.0,13,3,1.0,False
4,0,13.0,13,3,1.0,False
6,0,12.866666666666667,13,4,0.7142857142857143,False
6,0,12.866666666666667,13,4,0.7142857142857143,False
4,0,18.833333333333332,13,3,0.7777777777777778,False
3,0,7.333333333333333,7,2,0.8333333333333334,False
3,0,7.333333333333333,7,2,0.8333333333333334,False
2,1,6.0,0,1,0.8888888888888888,False
2,1,6.0,0,1,0.8888888888888888,False
7,0,2.0952380952380953,0,3,0.5217391304347826,False
7,0,10.380952380952381,13,3,0.8235294117647058,False
7,0,8.761904761904763,13,3,0.631578947368421,False
7,0,14.857142857142858,13,3,0.625,False
7,0,12.476190476190476,13,3,0.7,False
7,0,12.0,13,4,0.5909090909090909,False
7,0,2.0952380952380953,0,3,0.5217391304347826,False
7,0,10.380952380952381,13,3,0.8235294117647058,False
7,0,8.761904761904763,13,3,0.631578947368421,False
7,0,14.857142857142858,13,3,0.625,False
7,0,12.476190476190476,13,3,0.7,False
7,0,12.0,13,4,0.5909090909090909,False
3,0,10.0,13,4,0.7,False
3,0,10.0,13,4,0.7,False
4,0,10.166666666666666,13,1,0.9230769230769231,False
4,0,10.166666666666666,13,1,0.9230769230769231,False
8,0,10.392857142857142,13,4,0.5769230769230769,False
8,0,12.25,13,4,0.5769230769230769,False
8,0,4.607142857142857,7,4,0.5416666666666666,False
8,0,14.821428571428571,13,4,0.5,False
8,0,9.321428571428571,13,4,0.5909090909090909,False
8,0,6.178571428571429,13,4,0.52,False
8,0,12.714285714285714,13,3,0.42857142857142855,False
8,0,10.607142857142858,13,4,0.5769230769230769,False
8,0,10.75,13,4,0.5,False
8,0,11.464285714285714,13,3,0.5882352941176471,False
8,0,10.607142857142858,13,4,0.5,False
8,0,10.392857142857142,13,4,0.5769230769230769,False
8,0,12.25,13,4,0.5769230769230769,False
8,0,4.607142857142857,7,4,0.5416666666666666,False
8,0,14.821428571428571,13,4,0.5,False
8,0,9.321428571428571,13,4,0.5909090909090909,False
8,0,6.178571428571429,13,4,0.52,False
8,0,12.714285714285714,13,3,0.42857142857142855,False
8,0,10.607142857142858,13,4,0.5769230769230769,False
8,0,10.75,13,4,0.5,False
8,0,11.464285714285714,13,3,0.5882352941176471,False
8,0,10.607142857142858,13,4,0.5,False
4,0,9.666666666666666,7,4,0.75,False
4,0,9.666666666666666,7,4,0.75,False
3,0,1.3333333333333333,0,3,0.8333333333333334,False
3,0,1.3333333333333333,0,3,0.8333333333333334,False
3,0,13.333333333333334,13,1,0.9,False
3,0,13.333333333333334,13,1,0.9,False
9,0,16.22222222222222,13,4,0.5833333333333334,False
9,0,9.5,13,4,0.48,False
9,0,7.833333333333333,13,4,0.5,False
9,0,13.166666666666666,13,3,0.5909090909090909,False
9,0,12.833333333333334,13,4,0.5555555555555556,False
9,0,16.22222222222222,13,4,0.5833333333333334,False
9,0,9.5,13,4,0.48,False
9,0,7.833333333333333,13,4,0.5,False
9,0,13.166666666666666,13,3,0.5909090909090909,False
9,0,12.833333333333334,13,4,0.5555555555555556,False
2,0,4.0,0,1,1.0,False
2,0,4.0,0,1,1.0,False
10,0,13.11111111111111,13,4,0.42857142857142855,False
10,0,13.11111111111111,13,4,0.42857142857142855,False
10,0,15.0,13,3,0.5238095238095238,False
10,0,15.0,13,3,0.5238095238095238,False
3,0,9.333333333333334,7,3,1.0,False
3,0,9.333333333333334,7,3,1.0,False
10,0,8.022222222222222,13,4,0.5454545454545454,False
10,0,8.022222222222222,13,4,0.5454545454545454,False
4,0,11.333333333333334,13,3,0.9,False
2,2,17.0,13,0,0.8,False
2,2,17.0,13,0,0.8,False
6,0,12.733333333333333,13,4,0.7,False
6,0,12.733333333333333,13,4,0.7,False
6,0,5.133333333333334,7,4,0.47058823529411764,True
4,0,15.833333333333334,13,2,0.9,True
4,0,11.833333333333334,7,3,0.75,True
3,1,16.0,13,2,0.8181818181818182,True
7,0,12.095238095238095,13,4,0.5789473684210527,True
8,0,10.892857142857142,13,4,0.5909090909090909,True
7,0,14.857142857142858,13,4,0.52,True
4,0,14.333333333333334,13,3,0.9090909090909091,True
7,0,15.80952380952381,13,4,0.5,True
9,0,4.611111111111111,13,3,0.5,True
8,0,9.964285714285714,13,3,0.52,True
3,0,24.0,13,0,0.7777777777777778,True
7,0,8.761904761904763,13,4,0.7142857142857143,True
2,0,24.0,0,2,1.0,True
8,0,12.928571428571429,13,4,0.5454545454545454,True
4,0,7.5,13,3,0.7272727272727273,True
3,0,16.0,13,4,1.0,True
3,0,10.0,13,3,0.8888888888888888,True
8,0,11.0,13,2,0.6153846153846154,True
8,0,12.571428571428571,13,4,0.43333333333333335,True
2,1,15.0,13,0,0.75,True
8,0,6.607142857142857,13,3,0.5,True
5,0,18.0,13,4,0.631578947368421,True
8,0,11.035714285714286,13,4,0.5357142857142857,True
10,0,12.733333333333333,13,3,0.6086956521739131,True
2,0,17.0,13,1,1.0,True
10,0,13.511111111111111,13,3,0.5714285714285714,True
5,0,9.2,13,4,0.5882352941176471,True
8,0,10.321428571428571,13,3,0.5625,True
10,0,9.377777777777778,13,4,0.45161290322580644,True
3,0,10.0,13,3,0.7272727272727273,True
5,0,7.2,13,3,0.5555555555555556,True
9,0,12.444444444444445,13,4,0.6153846153846154,True
2,0,20.0,6,3,1.0,True
9,0,15.944444444444445,13,4,0.39285714285714285,True
8,0,11.607142857142858,13,4,0.5357142857142857,True
4,0,8.5,13,4,0.7692307692307693,True
6,0,14.0,13,4,0.7058823529411765,True
4,0,2.6666666666666665,0,3,0.8,True
2,0,17.0,13,3,1.0,True
7,0,5.142857142857143,7,4,0.6111111111111112,True
5,0,7.8,13,3,0.8125,True
4,0,10.166666666666666,13,1,0.5714285714285714,True
4,0,9.5,13,4,0.7142857142857143,True
3,0,15.333333333333334,13,1,0.9090909090909091,True
2,0,22.0,0,0,1.0,True
7,0,10.095238095238095,13,3,0.7058823529411765,True
8,0,12.285714285714286,13,2,0.41935483870967744,True
9,0,10.38888888888889,13,3,0.4230769230769231,True
8,0,9.035714285714286,13,4,0.5555555555555556,True
4,0,10.0,7,4,0.75,True
2,0,15.0,13,2,1.0,True
4,0,14.166666666666666,13,1,0.8,True
6,0,11.133333333333333,13,2,0.6190476190476191,True
8,0,6.214285714285714,7,4,0.46153846153846156,True
8,0,11.214285714285714,13,3,0.45161290322580644,True
9,0,10.944444444444445,13,3,0.4827586206896552,True
8,0,10.928571428571429,13,3,0.7058823529411765,True
9,0,8.333333333333334,13,4,0.5,True
3,0,10.666666666666666,13,2,1.0,True
2,0,0.0,0,1,1.0,True
2,1,17.0,13,1,0.8571428571428571,True
3,0,11.333333333333334,13,3,0.875,True
4,0,8.666666666666666,7,3,0.7,True
8,0,7.035714285714286,7,4,0.6190476190476191,True
7,0,9.523809523809524,7,4,0.4782608695652174,True
3,0,14.0,13,4,0.6666666666666666,True
8,0,10.607142857142858,13,4,0.4642857142857143,True
3,0,17.333333333333332,13,2,0.9,True
5,0,8.4,13,4,0.7692307692307693,True
10,0,7.2444444444444445,13,3,0.42857142857142855,True
3,0,8.666666666666666,0,2,0.8333333333333334,True
2,0,4.0,0,1,1.0,True
5,0,12.8,13,4,0.6875,True
9,0,3.888888888888889,7,4,0.48,True
5,0,12.0,13,2,0.8181818181818182,True
5,0,10.0,13,4,0.75,True
8,0,10.142857142857142,13,2,0.4583333333333333,True
4,0,4.333333333333333,0,3,0.6666666666666666,True
7,0,11.904761904761905,13,4,0.5454545454545454,True
3,2,8.666666666666666,7,1,0.5384615384615384,True
4,0,11.5,7,4,0.6428571428571429,True
3,1,10.666666666666666,13,2,0.5,True
6,0,15.466666666666667,13,4,0.6666666666666666,True
4,0,12.0,13,2,0.6666666666666666,True
7,0,10.857142857142858,13,4,0.6470588235294118,True
3,0,14.0,13,4,0.8571428571428571,True
9,0,13.5,13,4,0.56,True
3,0,0.0,0,3,1.0,True
3,0,14.0,13,1,0.7272727272727273,True
8,0,10.642857142857142,13,4,0.5909090909090909,True
7,0,13.238095238095237,13,4,0.5909090909090909,True
4,0,16.166666666666668,13,3,0.6428571428571429,True
9,0,7.722222222222222,13,4,0.5862068965517241,True
4,0,9.166666666666666,13,2,0.8571428571428571,True
9,0,11.944444444444445,13,4,0.6086956521739131,True
4,0,11.833333333333334,7,3,0.8181818181818182,True
3,0,14.0,13,1,0.8,True
2,0,15.0,13,1,1.0,True
3,0,14.666666666666666,13,1,1.0,True
7,0,15.238095238095237,13,4,0.5238095238095238,True
