size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,2.6666666666666665,0,4,1.0,False
3,0,2.6666666666666665,0,4,1.0,False
3,0,8.666666666666666,7,3,0.875,False
3,0,8.666666666666666,7,3,0.875,False
2,1,22.0,6,3,0.8,False
2,0,4.0,0,0,1.0,False
2,1,17.0,13,2,0.875,False
2,0,25.0,13,3,1.0,False
2,1,2.0,0,4,0.8333333333333334,False
2,0,4.0,0,2,1.0,False
2,1,11.0,7,1,0.8888888888888888,False
2,2,13.0,7,1,0.6,False
2,1,22.0,6,3,0.8,False
2,0,4.0,0,0,1.0,False
2,1,17.0,13,2,0.875,False
2,0,25.0,13,3,1.0,False
2,1,2.0,0,4,0.8333333333333334,False
2,0,4.0,0,2,1.0,False
2,1,11.0,7,1,0.8888888888888888,False
2,2,13.0,7,1,0.6,False
3,0,6.666666666666667,7,2,1.0,False
3,0,6.666666666666667,7,2,1.0,False
3,0,12.0,13,3,0.75,False
3,0,14.0,7,3,0.8888888888888888,False
3,0,13.333333333333334,13,3,0.7272727272727273,False
3,0,4.0,0,4,0.875,False
3,0,15.333333333333334,13,3,0.8571428571428571,False
3,0,4.666666666666667,0,2,1.0,False
3,0,12.0,13,3,0.75,False
3,0,14.0,7,3,0.8888888888888888,False
3,0,13.333333333333334,13,3,0.7272727272727273,False
3,0,4.0,0,4,0.875,False
3,0,15.333333333333334,13,3,0.8571428571428571,False
3,0,4.666666666666667,0,2,1.0,False
2,0,15.0,13,1,1.0,False
2,0,15.0,13,1,1.0,False
2,0,17.0,13,2,1.0,False
2,0,17.0,13,2,1.0,False
4,0,13.833333333333334,13,4,0.5714285714285714,False
4,0,1.6666666666666667,0,2,0.6363636363636364,False
4,0,2.6666666666666665,0,4,0.7272727272727273,False
4,0,2.6666666666666665,0,3,0.8461538461538461,False
4,0,8.166666666666666,13,1,1.0,False
4,0,10.5,13,2,0.8,False
4,0,3.0,0,2,0.8333333333333334,False
4,0,12.5,13,2,0.8571428571428571,False
4,0,9.833333333333334,13,3,0.9,False
4,0,4.333333333333333,0,4,0.7272727272727273,False
4,0,9.166666666666666,13,4,0.75,False
4,0,8.666666666666666,7,1,0.7692307692307693,False
4,0,8.833333333333334,13,3,0.75,False
4,0,13.833333333333334,13,4,0.5714285714285714,False
4,0,1.6666666666666667,0,2,0.6363636363636364,False
4,0,2.6666666666666665,0,4,0.7272727272727273,False
4,0,2.6666666666666665,0,3,0.8461538461538461,False
4,0,8.166666666666666,13,1,1.0,False
4,0,10.5,13,2,0.8,False
4,0,3.0,0,2,0.8333333333333334,False
4,0,12.5,13,2,0.8571428571428571,False
4,0,9.833333333333334,13,3,0.9,False
4,0,4.333333333333333,0,4,0.7272727272727273,False
4,0,9.166666666666666,13,4,0.75,False
4,0,8.666666666666666,7,1,0.7692307692307693,False
4,0,8.833333333333334,13,3,0.75,False
2,0,17.0,13,3,1.0,False
2,0,17.0,13,3,1.0,False
2,0,17.0,13,2,1.0,False
2,0,17.0,13,2,1.0,False
3,0,8.666666666666666,7,3,0.7272727272727273,False
3,0,8.666666666666666,7,3,0.7272727272727273,False
5,0,14.0,13,3,0.8333333333333334,False
5,1,6.4,7,3,0.5833333333333334,False
5,0,11.4,13,3,0.6875,False
5,0,7.6,7,4,0.5714285714285714,False
5,0,16.8,13,4,0.6470588235294118,False
5,0,13.6,13,3,0.7272727272727273,False
5,0,12.4,13,4,0.6666666666666666,False
5,0,6.2,7,3,0.8333333333333334,False
5,0,11.4,13,2,0.6190476190476191,False
5,0,12.6,13,3,0.75,False
5,0,11.6,13,3,0.7333333333333333,False
5,0,15.0,13,2,0.6190476190476191,False
5,0,2.0,0,2,0.6153846153846154,False
5,0,14.0,13,3,0.8333333333333334,False
5,1,6.4,7,3,0.5833333333333334,False
5,0,11.4,13,3,0.6875,False
5,0,7.6,7,4,0.5714285714285714,False
5,0,16.8,13,4,0.6470588235294118,False
5,0,13.6,13,3,0.7272727272727273,False
5,0,12.4,13,4,0.6666666666666666,False
5,0,6.2,7,3,0.8333333333333334,False
5,0,11.4,13,2,0.6190476190476191,False
5,0,12.6,13,3,0.75,False
5,0,11.6,13,3,0.7333333333333333,False
5,0,15.0,13,2,0.6190476190476191,False
5,0,2.0,0,2,0.6153846153846154,False
4,0,14.5,13,4,0.75,False
4,0,14.5,13,4,0.75,False
2,0,17.0,13,1,1.0,False
2,0,17.0,13,1,1.0,False
4,0,7.5,13,3,0.6875,False
4,0,7.5,13,3,0.6875,False
6,0,9.6,13,3,0.55,False
6,0,9.0,7,4,0.6470588235294118,False
6,0,9.466666666666667,13,4,0.7647058823529411,False
6,0,13.4,13,3,0.75,False
6,0,11.466666666666667,13,3,0.6428571428571429,False
6,0,5.533333333333333,13,3,0.55,False
6,0,11.666666666666666,13,1,0.5185185185185185,False
6,0,9.266666666666667,13,1,0.42857142857142855,False
6,0,14.933333333333334,13,3,0.6923076923076923,False
6,0,12.666666666666666,13,2,0.75,False
6,0,7.733333333333333,7,4,0.6666666666666666,False
6,0,17.466666666666665,13,4,0.631578947368421,False
6,0,9.6,13,3,0.55,False
6,0,9.0,7,4,0.6470588235294118,False
6,0,13.4,13,3,0.75,False
6,0,11.466666666666667,13,3,0.6428571428571429,False
6,0,5.533333333333333,13,3,0.55,False
6,0,11.666666666666666,13,1,0.5185185185185185,False
6,0,9.266666666666667,13,1,0.42857142857142855,False
6,0,14.933333333333334,13,3,0.6923076923076923,False
6,0,12.666666666666666,13,2,0.75,False
6,0,7.733333333333333,7,4,0.6666666666666666,False
6,0,17.466666666666665,13,4,0.631578947368421,False
5,0,10.2,13,4,0.6666666666666666,False
5,0,10.2,13,4,0.6666666666666666,False
3,0,8.666666666666666,7,2,0.8,False
3,0,8.666666666666666,7,2,0.8,False
2,0,13.0,7,0,1.0,False
2,0,13.0,7,0,1.0,False
4,0,3.3333333333333335,0,3,0.8888888888888888,False
4,0,3.3333333333333335,0,3,0.8888888888888888,False
2,0,15.0,13,2,1.0,False
2,0,15.0,13,2,1.0,False
4,0,11.0,13,4,0.6666666666666666,False
4,0,11.0,13,4,0.6666666666666666,False
7,0,14.380952380952381,13,3,0.5714285714285714,False
7,0,14.380952380952381,13,3,0.5714285714285714,False
7,0,13.428571428571429,13,3,0.6875,False
7,0,13.428571428571429,13,3,0.6875,False
5,0,5.8,7,4,0.9090909090909091,False
5,0,5.8,7,4,0.9090909090909091,False
7,0,16.095238095238095,13,4,0.65,False
7,0,8.380952380952381,13,4,0.7777777777777778,False
7,0,12.666666666666666,13,2,0.5,False
7,0,12.666666666666666,13,2,0.5,False
7,0,10.761904761904763,13,4,0.6111111111111112,False
7,0,10.761904761904763,13,4,0.6111111111111112,False
7,0,15.047619047619047,13,4,0.6086956521739131,False
7,0,15.047619047619047,13,4,0.6086956521739131,False
7,0,8.952380952380953,7,2,0.8461538461538461,False
7,0,8.666666666666666,7,4,0.5263157894736842,False
7,0,8.666666666666666,7,4,0.5263157894736842,False
7,0,13.523809523809524,13,4,0.5,False
7,0,13.523809523809524,13,4,0.5,False
7,0,14.857142857142858,13,3,0.625,False
7,0,14.857142857142858,13,3,0.625,False
2,2,4.0,0,0,0.75,False
2,2,4.0,0,0,0.75,False
