size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,10.0,13,3,1.0,False
3,0,10.0,13,3,1.0,False
5,0,9.2,13,3,0.8,False
5,0,9.2,13,3,0.8,False
4,0,13.333333333333334,13,3,1.0,False
4,0,13.333333333333334,13,3,1.0,False
2,1,16.0,6,3,0.8571428571428571,False
2,0,17.0,13,0,1.0,False
2,2,20.0,6,2,0.75,False
2,0,11.0,7,0,1.0,False
2,0,17.0,13,1,1.0,False
2,0,4.0,0,3,1.0,False
2,3,4.0,0,2,0.625,False
2,0,15.0,13,3,1.0,False
2,0,15.0,13,1,1.0,False
2,1,19.0,13,0,0.75,False
2,1,16.0,6,4,0.8333333333333334,False
2,1,20.0,6,2,0.8333333333333334,False
2,1,22.0,6,1,0.8571428571428571,False
2,0,13.0,7,3,1.0,False
2,0,4.0,0,1,1.0,False
2,1,16.0,6,3,0.8571428571428571,False
2,0,17.0,13,0,1.0,False
2,2,20.0,6,2,0.75,False
2,0,11.0,7,0,1.0,False
2,0,17.0,13,1,1.0,False
2,0,4.0,0,3,1.0,False
2,3,4.0,0,2,0.625,False
2,0,15.0,13,3,1.0,False
2,0,15.0,13,1,1.0,False
2,1,19.0,13,0,0.75,False
2,1,16.0,6,4,0.8333333333333334,False
2,1,20.0,6,2,0.8333333333333334,False
2,1,22.0,6,1,0.8571428571428571,False
2,0,13.0,7,3,1.0,False
2,0,4.0,0,1,1.0,False
6,0,9.6,13,4,0.5555555555555556,False
6,0,9.6,13,4,0.5555555555555556,False
6,0,8.533333333333333,13,4,0.6666666666666666,False
6,0,8.533333333333333,13,4,0.6666666666666666,False
3,0,11.333333333333334,13,3,1.0,False
3,0,16.0,13,2,0.75,False
3,0,14.0,13,1,0.9090909090909091,False
3,0,19.333333333333332,13,3,0.6363636363636364,False
3,0,2.0,0,4,0.8571428571428571,False
3,0,18.0,13,1,0.9090909090909091,False
3,1,8.666666666666666,7,2,0.7,False
3,0,8.666666666666666,7,4,1.0,False
3,0,15.333333333333334,13,4,0.8888888888888888,False
3,0,15.333333333333334,13,4,0.7777777777777778,False
3,0,11.333333333333334,13,3,1.0,False
3,0,16.0,13,2,0.75,False
3,0,14.0,13,1,0.9090909090909091,False
3,0,19.333333333333332,13,3,0.6363636363636364,False
3,0,2.0,0,4,0.8571428571428571,False
3,0,18.0,13,1,0.9090909090909091,False
3,1,8.666666666666666,7,2,0.7,False
3,0,8.666666666666666,7,4,1.0,False
3,0,15.333333333333334,13,4,0.8888888888888888,False
3,0,15.333333333333334,13,4,0.7777777777777778,False
2,0,17.0,13,1,1.0,False
2,0,17.0,13,1,1.0,False
6,0,14.933333333333334,13,4,0.5625,False
6,0,14.933333333333334,13,4,0.5625,False
3,0,6.0,7,2,0.8333333333333334,False
3,0,6.0,7,2,0.8333333333333334,False
4,0,16.833333333333332,13,4,1.0,False
4,0,19.0,6,2,0.7058823529411765,False
4,0,15.0,13,2,0.625,False
4,0,13.333333333333334,13,3,0.6923076923076923,False
4,0,11.166666666666666,13,2,0.5833333333333334,False
4,0,7.666666666666667,7,3,0.7142857142857143,False
4,0,9.166666666666666,13,4,0.8,False
4,0,11.666666666666666,13,1,0.631578947368421,False
4,0,7.166666666666667,7,3,0.7142857142857143,False
4,0,6.833333333333333,7,3,0.8181818181818182,False
4,0,5.5,7,4,0.7692307692307693,False
4,0,18.166666666666668,13,2,0.75,False
4,0,9.166666666666666,13,4,0.8333333333333334,False
4,0,17.0,13,2,0.6666666666666666,False
4,0,14.333333333333334,13,3,0.6923076923076923,False
4,0,12.666666666666666,13,2,0.7857142857142857,False
4,1,11.333333333333334,13,2,0.5,False
4,0,16.833333333333332,13,4,1.0,False
4,0,19.0,6,2,0.7058823529411765,False
4,0,15.0,13,2,0.625,False
4,0,13.333333333333334,13,3,0.6923076923076923,False
4,0,7.666666666666667,7,3,0.7142857142857143,False
4,0,9.166666666666666,13,4,0.8,False
4,0,11.666666666666666,13,1,0.631578947368421,False
4,0,7.166666666666667,7,3,0.7142857142857143,False
4,0,6.833333333333333,7,3,0.8181818181818182,False
4,0,5.5,7,4,0.7692307692307693,False
4,0,18.166666666666668,13,2,0.75,False
4,0,9.166666666666666,13,4,0.8333333333333334,False
4,0,17.0,13,2,0.6666666666666666,False
4,0,14.333333333333334,13,3,0.6923076923076923,False
4,0,12.666666666666666,13,2,0.7857142857142857,False
4,1,11.333333333333334,13,2,0.5,False
3,1,4.0,0,2,0.6666666666666666,False
3,1,4.0,0,2,0.6666666666666666,False
2,0,2.0,0,1,1.0,False
2,0,2.0,0,1,1.0,False
3,0,5.333333333333333,0,1,0.7692307692307693,False
3,0,5.333333333333333,0,1,0.7692307692307693,False
5,0,12.8,13,3,0.6,False
5,0,10.8,13,3,0.5454545454545454,False
5,0,12.2,13,4,0.7857142857142857,False
5,0,14.4,13,3,0.6428571428571429,False
5,0,7.4,0,3,0.7333333333333333,False
5,0,8.4,13,3,0.6470588235294118,False
5,0,10.0,13,3,0.75,False
5,0,15.8,13,4,0.7058823529411765,False
5,0,12.4,13,4,0.6153846153846154,False
5,0,0.8,0,4,0.75,False
5,0,11.2,13,4,0.8181818181818182,False
5,0,15.6,13,3,0.6470588235294118,False
5,0,13.4,13,3,0.5384615384615384,False
