skill_quantity_mean,skill_quantity_mean_error,skill_quantity_min_diff,skill_quantity_max_diff,hours_mean,hours_mean_error,hours_min_diff,hours_max_diff,choices_mean,choices_mean_error,choices_min_diff,choices_max_diff,hamming_mean,hamming_mean_error,hamming_min_diff,hamming_max_diff,weekdays_mean,weekdays_mean_error,weekdays_min_diff,weekdays_max_diff,shared_skill_amount,skill_diversity,control,size,Rank
2.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,2.0,0.0,0,0,0.3571428571428571,0.4081632653061224,0.0,1.0,0,1.0,False,2,1
2.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,2.0,0.0,0,0,0.3571428571428571,0.4081632653061224,0.0,1.0,0,1.0,False,2,2
3.0,2.0,4,4,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.5,0.1428571428571428,0.0,1.0,0,1.0,False,2,3
3.0,2.0,4,4,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.5,0.1428571428571428,0.0,1.0,0,1.0,False,2,4
3.5,0.5,1,1,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.4285714285714285,0.2448979591836734,0.0,1.0,0,1.0,False,2,5
3.5,0.5,1,1,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.4285714285714285,0.2448979591836734,0.0,1.0,0,1.0,False,2,6
2.0,0.0,0,0,61.5,3.5,7,7,3.5,0.5,1,1,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,0,1.0,False,2,7
3.5,1.5,3,3,61.5,3.5,7,7,3.5,0.5,1,1,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,1,0.8571428571428571,False,2,8
3.5,1.5,3,3,61.5,3.5,7,7,3.5,0.5,1,1,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,1,0.8571428571428571,False,2,9
4.0,1.0,2,2,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,1,0.875,False,2,10
4.0,1.0,2,2,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,1,0.875,False,2,11
3.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,0.0,0.0,0,0,0.2857142857142857,0.4081632653061224,0.0,1.0,1,0.8571428571428571,False,2,12
3.5,1.5,3,3,65.0,0.0,0,0,4.0,0.0,0,0,0.0,0.0,0,0,0.2857142857142857,0.4081632653061224,0.0,1.0,1,0.8571428571428571,False,2,13
4.5,0.5,1,1,65.0,0.0,0,0,4.0,0.0,0,0,2.0,0.0,0,0,0.3571428571428571,0.4081632653061224,0.0,1.0,1,0.8888888888888888,False,2,14
4.5,0.5,1,1,65.0,0.0,0,0,4.0,0.0,0,0,2.0,0.0,0,0,0.3571428571428571,0.4081632653061224,0.0,1.0,1,0.8888888888888888,False,2,15
2.5,0.5,1,1,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,0,1.0,False,2,16
2.5,0.5,1,1,61.5,3.5,7,7,4.0,0.0,0,0,11.0,0.0,0,0,0.5,0.2857142857142857,0.0,1.0,0,1.0,False,2,17
5.0,0.0,0,0,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.5,0.1428571428571428,0.0,1.0,0,1.0,False,2,18
5.0,0.0,0,0,61.5,3.5,7,7,4.0,0.0,0,0,13.0,0.0,0,0,0.5,0.1428571428571428,0.0,1.0,0,1.0,False,2,19
3.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,9.333333333333334,3.555555555555556,2,9,0.4761904761904762,0.2585034013605442,0.0,1.0,0,0.9090909090909092,False,3,20
3.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,9.333333333333334,3.555555555555556,2,9,0.4761904761904762,0.2585034013605442,0.0,1.0,0,0.9090909090909092,False,3,21
2.6666666666666665,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.75,False,3,22
2.6666666666666665,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.75,False,3,23
2.333333333333333,1.1111111111111112,1,3,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.8571428571428571,False,3,24
2.333333333333333,1.1111111111111112,1,3,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.8571428571428571,False,3,25
2.0,1.3333333333333333,0,3,62.66666666666666,3.111111111111112,0,7,3.6666666666666665,0.4444444444444445,0,1,8.666666666666666,4.444444444444445,2,11,0.3809523809523809,0.2585034013605442,0.0,1.0,0,0.8333333333333334,False,3,26
2.0,1.3333333333333333,0,3,62.66666666666666,3.111111111111112,0,7,3.6666666666666665,0.4444444444444445,0,1,8.666666666666666,4.444444444444445,2,11,0.3809523809523809,0.2585034013605442,0.0,1.0,0,0.8333333333333334,False,3,27
2.6666666666666665,1.1111111111111112,1,3,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.875,False,3,28
2.6666666666666665,1.1111111111111112,1,3,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3333333333333333,0.3809523809523809,0.0,1.0,0,0.875,False,3,29
3.333333333333333,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,0.8888888888888888,0,2,0.3809523809523809,0.3537414965986394,0.0,1.0,0,0.9,False,3,30
3.333333333333333,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,0.8888888888888888,0,2,0.3809523809523809,0.3537414965986394,0.0,1.0,0,0.9,False,3,31
2.6666666666666665,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,0.0,0.0,0,0,0.2857142857142857,0.4081632653061224,0.0,1.0,0,0.875,False,3,32
2.6666666666666665,1.5555555555555554,1,4,65.0,0.0,0,0,4.0,0.0,0,0,0.0,0.0,0,0,0.2857142857142857,0.4081632653061224,0.0,1.0,0,0.875,False,3,33
2.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,10.666666666666666,3.111111111111111,0,7,0.3333333333333333,0.1904761904761904,0.0,1.0,0,0.875,False,3,34
2.6666666666666665,1.1111111111111112,1,3,62.66666666666666,3.111111111111112,0,7,4.0,0.0,0,0,10.666666666666666,3.111111111111111,0,7,0.3333333333333333,0.1904761904761904,0.0,1.0,0,0.875,False,3,35
3.333333333333333,0.8888888888888888,0,2,62.66666666666666,3.111111111111112,0,7,3.333333333333333,0.4444444444444445,0,1,8.666666666666666,3.111111111111111,4,9,0.4285714285714285,0.2993197278911564,0.0,1.0,0,0.7,False,3,36
3.333333333333333,0.8888888888888888,0,2,62.66666666666666,3.111111111111112,0,7,3.333333333333333,0.4444444444444445,0,1,8.666666666666666,3.111111111111111,4,9,0.4285714285714285,0.2993197278911564,0.0,1.0,0,0.7,False,3,37
4.0,0.6666666666666666,1,2,60.333333333333336,3.111111111111112,0,7,4.0,0.0,0,0,10.0,4.0,0,9,0.5714285714285714,0.2312925170068027,0.0,1.0,0,0.9166666666666666,False,3,38
4.0,0.6666666666666666,1,2,60.333333333333336,3.111111111111112,0,7,4.0,0.0,0,0,10.0,4.0,0,9,0.5714285714285714,0.2312925170068027,0.0,1.0,0,0.9166666666666666,False,3,39
2.6666666666666665,0.8888888888888888,0,2,62.66666666666666,3.111111111111112,0,7,3.333333333333333,0.4444444444444445,0,1,7.333333333333333,3.555555555555556,2,9,0.4761904761904762,0.3537414965986394,0.0,1.0,0,0.875,False,3,40
2.6666666666666665,0.8888888888888888,0,2,62.66666666666666,3.111111111111112,0,7,3.333333333333333,0.4444444444444445,0,1,7.333333333333333,3.555555555555556,2,9,0.4761904761904762,0.3537414965986394,0.0,1.0,0,0.875,False,3,41
3.0,1.3333333333333333,0,3,62.66666666666666,3.111111111111112,0,7,3.6666666666666665,0.4444444444444445,0,1,7.333333333333333,4.888888888888889,0,11,0.4285714285714285,0.326530612244898,0.0,1.0,0,0.7777777777777778,False,3,42
3.0,1.3333333333333333,0,3,62.66666666666666,3.111111111111112,0,7,3.6666666666666665,0.4444444444444445,0,1,7.333333333333333,4.888888888888889,0,11,0.4285714285714285,0.326530612244898,0.0,1.0,0,0.7777777777777778,False,3,43
2.333333333333333,0.4444444444444445,0,1,60.333333333333336,3.111111111111112,0,7,3.6666666666666665,0.4444444444444445,0,1,10.0,1.3333333333333333,0,3,0.5714285714285714,0.2993197278911564,0.0,1.0,0,1.0,False,3,44
4.0,1.0,0,3,63.25,2.625,0,7,4.0,0.0,0,0,7.5,4.166666666666667,0,11,0.4642857142857143,0.2551020408163265,0.0,1.0,0,0.875,False,4,45
3.25,1.25,0,3,65.0,0.0,0,0,4.0,0.0,0,0,3.333333333333333,0.8888888888888887,0,2,0.3571428571428571,0.3673469387755102,0.0,1.0,0,0.6923076923076923,False,4,46
3.25,1.25,0,3,65.0,0.0,0,0,4.0,0.0,0,0,3.333333333333333,0.8888888888888887,0,2,0.3571428571428571,0.3673469387755102,0.0,1.0,0,0.6923076923076923,False,4,47
3.25,1.25,0,3,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,0.8888888888888888,0,2,0.3571428571428571,0.3673469387755102,0.0,1.0,0,0.7692307692307693,False,4,48
3.25,1.25,0,3,65.0,0.0,0,0,4.0,0.0,0,0,2.6666666666666665,0.8888888888888888,0,2,0.3571428571428571,0.3673469387755102,0.0,1.0,0,0.7692307692307693,False,4,49
2.75,1.25,0,3,65.0,0.0,0,0,4.0,0.0,0,0,1.3333333333333333,0.888888888888889,0,2,0.3571428571428571,0.4081632653061224,0.0,1.0,0,0.7272727272727273,False,4,50
