size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,15.333333333333334,13,4,0.8,False
3,0,15.333333333333334,13,4,0.8,False
3,0,10.0,13,3,0.6363636363636364,False
3,0,16.666666666666668,13,4,0.8,False
3,0,11.333333333333334,13,3,0.9166666666666666,False
3,0,10.0,13,3,0.6363636363636364,False
3,0,16.666666666666668,13,4,0.8,False
3,0,11.333333333333334,13,3,0.9166666666666666,False
5,0,11.6,13,3,0.6875,False
5,0,11.6,13,3,0.6875,False
2,0,17.0,13,1,1.0,False
2,0,19.0,13,2,1.0,False
2,0,19.0,13,2,1.0,False
3,0,10.0,13,4,0.75,False
3,0,10.0,13,4,0.75,False
2,1,0.0,0,4,0.8333333333333334,False
2,1,0.0,0,4,0.8333333333333334,False
2,0,22.0,0,0,1.0,False
2,0,22.0,0,0,1.0,False
4,0,14.666666666666666,13,3,0.9285714285714286,False
4,0,8.5,13,3,0.6875,False
4,0,13.333333333333334,13,4,0.8333333333333334,False
4,0,17.333333333333332,13,4,0.7272727272727273,False
4,0,11.0,13,4,0.9166666666666666,False
4,0,11.333333333333334,13,4,0.7692307692307693,False
4,0,8.5,13,4,0.8181818181818182,False
4,0,14.0,13,3,0.8,False
4,0,16.333333333333332,13,4,0.9230769230769231,False
4,0,13.333333333333334,13,4,0.7142857142857143,False
4,0,9.5,13,0,0.6875,False
4,0,14.666666666666666,13,3,0.9285714285714286,False
4,0,8.5,13,3,0.6875,False
4,0,13.333333333333334,13,4,0.8333333333333334,False
4,0,17.333333333333332,13,4,0.7272727272727273,False
4,0,11.0,13,4,0.9166666666666666,False
4,0,11.333333333333334,13,4,0.7692307692307693,False
4,0,8.5,13,4,0.8181818181818182,False
4,0,18.5,13,4,0.9,False
4,0,14.0,13,3,0.8,False
4,0,16.333333333333332,13,4,0.9230769230769231,False
4,0,13.333333333333334,13,4,0.7142857142857143,False
4,0,9.5,13,0,0.6875,False
3,1,1.3333333333333333,0,4,0.5555555555555556,False
3,1,1.3333333333333333,0,4,0.5555555555555556,False
3,0,17.333333333333332,13,3,0.8333333333333334,False
3,0,17.333333333333332,13,3,0.8333333333333334,False
4,0,1.0,0,4,0.5833333333333334,False
4,0,1.0,0,4,0.5833333333333334,False
2,0,15.0,13,3,1.0,False
2,0,15.0,13,3,1.0,False
2,0,4.0,0,1,1.0,False
2,0,4.0,0,1,1.0,False
3,0,12.666666666666666,13,3,1.0,False
3,0,12.666666666666666,13,3,1.0,False
2,0,12.0,0,4,1.0,False
2,0,12.0,0,4,1.0,False
2,1,17.0,13,2,0.8333333333333334,False
2,1,17.0,13,2,0.8333333333333334,False
2,0,17.0,13,0,1.0,False
2,0,17.0,13,0,1.0,False
2,3,13.0,7,1,0.6666666666666666,False
2,3,13.0,7,1,0.6666666666666666,False
5,0,6.8,13,3,0.631578947368421,False
5,0,11.4,13,4,0.75,False
5,0,9.8,13,4,0.7857142857142857,False
5,0,10.2,13,4,0.6470588235294118,False
5,0,8.0,13,1,0.631578947368421,False
5,0,14.0,13,4,0.8666666666666667,False
5,0,10.8,13,2,0.7272727272727273,False
5,0,6.8,13,3,0.6111111111111112,False
5,0,14.6,13,4,0.6666666666666666,False
5,0,11.8,13,3,0.6470588235294118,False
5,0,11.4,13,4,0.6666666666666666,False
5,0,9.6,13,3,0.6470588235294118,False
5,0,16.4,13,4,0.8666666666666667,False
5,0,7.2,7,2,0.6,False
5,0,10.0,13,4,0.75,False
5,0,13.8,13,4,0.8571428571428571,False
5,0,16.6,13,4,0.5714285714285714,False
5,0,14.6,13,4,0.6666666666666666,False
5,0,9.8,13,4,0.8571428571428571,False
5,0,11.2,13,4,0.6666666666666666,False
5,0,13.4,13,4,0.8333333333333334,False
5,0,14.6,13,4,0.7333333333333333,False
5,0,13.8,13,4,0.7058823529411765,False
5,0,11.6,13,4,0.7692307692307693,False
5,0,6.8,13,3,0.631578947368421,False
5,0,11.4,13,4,0.75,False
5,0,9.8,13,4,0.7857142857142857,False
5,0,10.2,13,4,0.6470588235294118,False
5,0,8.0,13,1,0.631578947368421,False
5,0,14.0,13,4,0.8666666666666667,False
5,0,10.8,13,2,0.7272727272727273,False
5,0,6.8,13,3,0.6111111111111112,False
5,0,14.6,13,4,0.6666666666666666,False
5,0,11.8,13,3,0.6470588235294118,False
5,0,11.4,13,4,0.6666666666666666,False
5,0,9.6,13,3,0.6470588235294118,False
5,0,7.2,7,2,0.6,False
5,0,10.0,13,4,0.75,False
5,0,13.8,13,4,0.8571428571428571,False
5,0,16.6,13,4,0.5714285714285714,False
5,0,14.6,13,4,0.6666666666666666,False
5,0,9.8,13,4,0.8571428571428571,False
5,0,11.2,13,4,0.6666666666666666,False
5,0,13.4,13,4,0.8333333333333334,False
5,0,14.6,13,4,0.7333333333333333,False
5,0,13.8,13,4,0.7058823529411765,False
5,0,11.6,13,4,0.7692307692307693,False
4,0,6.833333333333333,7,4,0.6,False
4,0,6.833333333333333,7,4,0.6,False
